,광역시도,시군,pop,moon,hong,ahn
267,충청북도,금천구,155010,67423.0,31106.0,36695.0
268,충청북도,영등포구,248833,105834.0,53615.0,53994.0
269,충청북도,동작구,276685,121722.0,54431.0,60305.0
270,충청북도,관악구,351240,159854.0,59914.0,79495.0
271,충청북도,서초구,292916,106416.0,74891.0,63977.0
272,충청북도,강남구,365642,128927.0,97639.0,80201.0
273,충청북도,송파구,441198,177328.0,98549.0,99018.0
274,충청북도,강동구,297476,122511.0,65893.0,67499.0
275,충청남도,종로구,102566,42512.0,22325.0,22313.0
276,충청남도,중구,82852,34062.0,17901.0,19372.0
277,충청남도,용산구,148157,58081.0,35230.0,32109.0
278,충청남도,성동구,203175,86686.0,40566.0,45674.0
279,충청남도,광진구,240030,105512.0,46368.0,52824.0
280,충청남도,동대문구,236092,98958.0,51631.0,53359.0
281,충청남도,중랑구,265706,111450.0,56545.0,62778.0
282,충청남도,성북구,295866,129263.0,57584.0,66518.0
283,충청남도,강북구,210614,89645.0,42268.0,51669.0
284,충청남도,도봉구,229233,94898.0,47461.0,55600.0
285,충청남도,노원구,374213,158167.0,67590.0,96325.0
286,충청남도,은평구,317275,140180.0,60109.0,72582.0
287,충청남도,서대문구,212076,93768.0,40513.0,46237.0
288,충청남도,마포구,256992,117336.0,46547.0,52545.0
289,충청남도,양천구,310886,133853.0,60814.0,71816.0
290,충청남도,강서구,397108,175882.0,76601.0,88128.0
291,충청남도,구로구,278805,121077.0,59194.0,61734.0
292,충청남도,금천구,155010,67423.0,31106.0,36695.0
293,충청남도,영등포구,248833,105834.0,53615.0,53994.0
294,충청남도,동작구,276685,121722.0,54431.0,60305.0
295,충청남도,관악구,351240,159854.0,59914.0,79495.0
296,충청남도,서초구,292916,106416.0,74891.0,63977.0
297,충청남도,강남구,365642,128927.0,97639.0,80201.0
298,충청남도,송파구,441198,177328.0,98549.0,99018.0
299,충청남도,강동구,297476,122511.0,65893.0,67499.0
300,전라북도,종로구,102566,42512.0,22325.0,22313.0
301,전라북도,중구,82852,34062.0,17901.0,19372.0
302,전라북도,용산구,148157,58081.0,35230.0,32109.0
303,전라북도,성동구,203175,86686.0,40566.0,45674.0
304,전라북도,광진구,240030,105512.0,46368.0,52824.0
305,전라북도,동대문구,236092,98958.0,51631.0,53359.0
306,전라북도,중랑구,265706,111450.0,56545.0,62778.0
307,전라북도,성북구,295866,129263.0,57584.0,66518.0
308,전라북도,강북구,210614,89645.0,42268.0,51669.0
309,전라북도,도봉구,229233,94898.0,47461.0,55600.0
310,전라북도,노원구,374213,158167.0,67590.0,96325.0
311,전라북도,은평구,317275,140180.0,60109.0,72582.0
312,전라북도,서대문구,212076,93768.0,40513.0,46237.0
313,전라북도,마포구,256992,117336.0,46547.0,52545.0
314,전라북도,양천구,310886,133853.0,60814.0,71816.0
315,전라북도,강서구,397108,175882.0,76601.0,88128.0
316,전라북도,구로구,278805,121077.0,59194.0,61734.0
317,전라북도,금천구,155010,67423.0,31106.0,36695.0
318,전라북도,영등포구,248833,105834.0,53615.0,53994.0
319,전라북도,동작구,276685,121722.0,54431.0,60305.0
320,전라북도,관악구,351240,159854.0,59914.0,79495.0
321,전라북도,서초구,292916,106416.0,74891.0,63977.0
322,전라북도,강남구,365642,128927.0,97639.0,80201.0
323,전라북도,송파구,441198,177328.0,98549.0,99018.0
324,전라북도,강동구,297476,122511.0,65893.0,67499.0
325,전라남도,종로구,102566,42512.0,22325.0,22313.0
326,전라남도,중구,82852,34062.0,17901.0,19372.0
327,전라남도,용산구,148157,58081.0,35230.0,32109.0
328,전라남도,성동구,203175,86686.0,40566.0,45674.0
329,전라남도,광진구,240030,105512.0,46368.0,52824.0
330,전라남도,동대문구,236092,98958.0,51631.0,53359.0
331,전라남도,중랑구,265706,111450.0,56545.0,62778.0
332,전라남도,성북구,295866,129263.0,57584.0,66518.0
333,전라남도,강북구,210614,89645.0,42268.0,51669.0
334,전라남도,도봉구,229233,94898.0,47461.0,55600.0
335,전라남도,노원구,374213,158167.0,67590.0,96325.0
336,전라남도,은평구,317275,140180.0,60109.0,72582.0
337,전라남도,서대문구,212076,93768.0,40513.0,46237.0
338,전라남도,마포구,256992,117336.0,46547.0,52545.0
339,전라남도,양천구,310886,133853.0,60814.0,71816.0
340,전라남도,강서구,397108,175882.0,76601.0,88128.0
341,전라남도,구로구,278805,121077.0,59194.0,61734.0
342,전라남도,금천구,155010,67423.0,31106.0,36695.0
343,전라남도,영등포구,248833,105834.0,53615.0,53994.0
344,전라남도,동작구,276685,121722.0,54431.0,60305.0
345,전라남도,관악구,351240,159854.0,59914.0,79495.0
346,전라남도,서초구,292916,106416.0,74891.0,63977.0
347,전라남도,강남구,365642,128927.0,97639.0,80201.0
348,전라남도,송파구,441198,177328.0,98549.0,99018.0
349,전라남도,강동구,297476,122511.0,65893.0,67499.0
350,경상북도,종로구,102566,42512.0,22325.0,22313.0
351,경상북도,중구,82852,34062.0,17901.0,19372.0
352,경상북도,용산구,148157,58081.0,35230.0,32109.0
353,경상북도,성동구,203175,86686.0,40566.0,45674.0
354,경상북도,광진구,240030,105512.0,46368.0,52824.0
355,경상북도,동대문구,236092,98958.0,51631.0,53359.0
356,경상북도,중랑구,265706,111450.0,56545.0,62778.0
357,경상북도,성북구,295866,129263.0,57584.0,66518.0
358,경상북도,강북구,210614,89645.0,42268.0,51669.0
359,경상북도,도봉구,229233,94898.0,47461.0,55600.0
360,경상북도,노원구,374213,158167.0,67590.0,96325.0
361,경상북도,은평구,317275,140180.0,60109.0,72582.0
362,경상북도,서대문구,212076,93768.0,40513.0,46237.0
363,경상북도,마포구,256992,117336.0,46547.0,52545.0
364,경상북도,양천구,310886,133853.0,60814.0,71816.0
365,경상북도,강서구,397108,175882.0,76601.0,88128.0
366,경상북도,구로구,278805,121077.0,59194.0,61734.0
367,경상북도,금천구,155010,67423.0,31106.0,36695.0
368,경상북도,영등포구,248833,105834.0,53615.0,53994.0
369,경상북도,동작구,276685,121722.0,54431.0,60305.0
370,경상북도,관악구,351240,159854.0,59914.0,79495.0
371,경상북도,서초구,292916,106416.0,74891.0,63977.0
372,경상북도,강남구,365642,128927.0,97639.0,80201.0
373,경상북도,송파구,441198,177328.0,98549.0,99018.0
374,경상북도,강동구,297476,122511.0,65893.0,67499.0
375,경상남도,종로구,102566,42512.0,22325.0,22313.0
376,경상남도,중구,82852,34062.0,17901.0,19372.0
377,경상남도,용산구,148157,58081.0,35230.0,32109.0
378,경상남도,성동구,203175,86686.0,40566.0,45674.0
379,경상남도,광진구,240030,105512.0,46368.0,52824.0
380,경상남도,동대문구,236092,98958.0,51631.0,53359.0
381,경상남도,중랑구,265706,111450.0,56545.0,62778.0
382,경상남도,성북구,295866,129263.0,57584.0,66518.0
383,경상남도,강북구,210614,89645.0,42268.0,51669.0
384,경상남도,도봉구,229233,94898.0,47461.0,55600.0
385,경상남도,노원구,374213,158167.0,67590.0,96325.0
386,경상남도,은평구,317275,140180.0,60109.0,72582.0
387,경상남도,서대문구,212076,93768.0,40513.0,46237.0
388,경상남도,마포구,256992,117336.0,46547.0,52545.0
389,경상남도,양천구,310886,133853.0,60814.0,71816.0
390,경상남도,강서구,397108,175882.0,76601.0,88128.0
391,경상남도,구로구,278805,121077.0,59194.0,61734.0
392,경상남도,금천구,155010,67423.0,31106.0,36695.0
393,경상남도,영등포구,248833,105834.0,53615.0,53994.0
394,경상남도,동작구,276685,121722.0,54431.0,60305.0
395,경상남도,관악구,351240,159854.0,59914.0,79495.0
396,경상남도,서초구,292916,106416.0,74891.0,63977.0
397,경상남도,강남구,365642,128927.0,97639.0,80201.0
398,경상남도,송파구,441198,177328.0,98549.0,99018.0
399,경상남도,강동구,297476,122511.0,65893.0,67499.0
400,제주특별자치도,종로구,102566,42512.0,22325.0,22313.0
401,제주특별자치도,중구,82852,34062.0,17901.0,19372.0
402,제주특별자치도,용산구,148157,58081.0,35230.0,32109.0
403,제주특별자치도,성동구,203175,86686.0,40566.0,45674.0
404,제주특별자치도,광진구,240030,105512.0,46368.0,52824.0
405,제주특별자치도,동대문구,236092,98958.0,51631.0,53359.0
406,제주특별자치도,중랑구,265706,111450.0,56545.0,62778.0
407,제주특별자치도,성북구,295866,129263.0,57584.0,66518.0
408,제주특별자치도,강북구,210614,89645.0,42268.0,51669.0
409,제주특별자치도,도봉구,229233,94898.0,47461.0,55600.0
410,제주특별자치도,노원구,374213,158167.0,67590.0,96325.0
411,제주특별자치도,은평구,317275,140180.0,60109.0,72582.0
412,제주특별자치도,서대문구,212076,93768.0,40513.0,46237.0
413,제주특별자치도,마포구,256992,117336.0,46547.0,52545.0
414,제주특별자치도,양천구,310886,133853.0,60814.0,71816.0
415,제주특별자치도,강서구,397108,175882.0,76601.0,88128.0
416,제주특별자치도,구로구,278805,121077.0,59194.0,61734.0
417,제주특별자치도,금천구,155010,67423.0,31106.0,36695.0
418,제주특별자치도,영등포구,248833,105834.0,53615.0,53994.0
419,제주특별자치도,동작구,276685,121722.0,54431.0,60305.0
420,제주특별자치도,관악구,351240,159854.0,59914.0,79495.0
421,제주특별자치도,서초구,292916,106416.0,74891.0,63977.0
422,제주특별자치도,강남구,365642,128927.0,97639.0,80201.0
423,제주특별자치도,송파구,441198,177328.0,98549.0,99018.0
424,제주특별자치도,강동구,297476,122511.0,65893.0,67499.0
